Clip Name,From,To,Parents,Transition Frame,IsActive,State Machine Paths,Duration,LoopCheck,TangentCheck,Previewed?,Exported?,Rendered,Cycles Reviewed,Post Processed,Video player OK,Video player notes,,,,,,,,,,
Front_Obedient_Transition_D,15405,15435,Front/Front_Obedient,3676,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Doesn't appear to have anymore movement? ,,,,,,,,,,
Front_Stare_Transition_A,15669,15699,Front/Front_Stare,3940,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_Stare_Transition_B,15789,15819,Front/Front_Stare,4060,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_Sleepy_Transition_A,16029,16059,Front/Front_Sleepy,4300,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_Sleepy_Transition_B,16149,16179,Front/Front_Sleepy,4420,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_IdleB_Transition_A,16366,16396,Left/Left_IdleB,4637,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_IdleB_Transition_B,16486,16516,Left/Left_IdleB,4757,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_ShakeHead_Transition_A,16695,16725,Left/Left_ShakeHead,5058,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_SmellAir_Transition_A,16857,16887,Left/Left_SmellAir,5221,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_IdleC_Transition_A,17118,17148,Left/Left_IdleC,5483,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Left_IdleC_Transition_B,17238,17268,Left/Left_IdleC,5603,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
